registration,approved,address,ward,expires
R22000090272,2026-09-13,"4951 W EDDY ST, Chicago, IL 60641, United States",31,2027-10-15
R23000109870,2026-09-13,"4038 N Drake AVE Unit B, Chicago, IL 60618, United States",33,2027-10-15
R24000121227,2026-09-13,"4050 W George ST, Chicago, IL 60641, United States",31,2027-10-15
R26000145249,2026-09-13,"9933 S Beverly AVE, Chicago, IL 60643, United States",21,2027-09-15
R21000071777,2026-09-12,"5624 N Odell AVE, Chicago, IL 60631, United States",41,2027-10-15
R21000072480,2026-09-12,"4609 N Campbell AVE # 1, Chicago, IL 60625, United States",47,2027-10-15
R22000091112,2026-09-12,"1437 W Lunt AVE Apt 1S, Chicago, IL 60626, United States",49,2027-10-15
R23000108115,2026-09-12,"2623 N Harding AVE Apt 1, Chicago, IL 60647, United States",35,2027-09-15
R25000133869,2026-09-12,"4325 N Bernard ST Apt 2, Chicago, IL 60618, United States",33,2027-10-15
R17000017804,2026-09-11,"4115 North Lawler Avenue, Chicago, IL 60641, United States",38,2026-09-15
R18000031907,2026-09-11,"2940 North Albany Avenue Unit 3, Chicago, IL 60618, United States",35,2026-09-15
R19000047696,2026-09-11,"737 West Gordon Terrace, Chicago, IL 60613, US",46,2026-09-15
R20000059819,2026-09-11,"3851 North Kildare Avenue 2, Chicago, IL 60641, US",30,2027-10-15
R21000069368,2026-09-11,"2300 N neva , Chicago, IL 60707, United States",29,2027-08-15
R21000072639,2026-09-11,"3539 N DAMEN AVE Garden 1, Chicago, IL 60618, United States",47,2026-10-15
R22000088568,2026-09-11,"1930 N Winchester Garden 1, Chicago, IL 60622, United States",32,2026-09-15
R22000089010,2026-09-11,"1441 N Cleveland AVE Unit F, Chicago, IL 60610, United States",27,2026-09-15
R22000090582,2026-09-11,"2215 W Rice ST Unit 2, Chicago, IL 60622, United States",36,2027-10-15
R23000108624,2026-09-11,"1074 N Hermitage AVE Unit 2R, Chicago, IL 60622, United States",1,2026-09-15
R23000109364,2026-09-11,"3538 W Melrose ST Apt. 2, Chicago, IL 60618, United States",35,2026-10-15
R23000110104,2026-09-11,"209 N Morgan ST Apt 201, Chicago, IL 60607, United States",27,2026-10-15
R24000120929,2026-09-11,"6236 W Cuyler AVE, Chicago, IL 60634, United States",38,2027-09-15
R24000120935,2026-09-11,"1228 N Campbell AVE # 3, Chicago, IL 60622, United States",26,2026-09-15
R24000121395,2026-09-11,"2042 W Warren BLVD, Chicago, IL 60612, United States",27,2026-10-15
R24000121883,2026-09-11,"1642 N Artesian AVE FL 1, Chicago, IL 60647, United States",1,2026-10-15
